fold,n_test,n_features,epochs_trained,learning_rate,weight_decay,num_nodes,dropout,batch_norm,batch_size,patience,meth_variance_threshold,train_c_index,val_c_index,test_c_index,stage,config_id
5,111,315,12,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.0005,0.5369786189975464,0.3864168618266979,0.5594989561586639,conservative_joint_tuning,24
1,112,326,11,0.0001,0.03,[4],0.4,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,25
2,111,318,11,0.0001,0.03,[4],0.4,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,25
3,111,322,11,0.0001,0.03,[4],0.4,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,25
4,111,330,11,0.0001,0.03,[4],0.4,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,25
5,111,315,11,0.0001,0.03,[4],0.4,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,25
1,112,326,11,0.0001,0.03,[4],0.5,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,26
2,111,318,11,0.0001,0.03,[4],0.5,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,26
3,111,322,11,0.0001,0.03,[4],0.5,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,26
4,111,330,11,0.0001,0.03,[4],0.5,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,26
5,111,315,11,0.0001,0.03,[4],0.5,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,26
1,112,326,11,0.0001,0.03,[4],0.6,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,27
2,111,318,11,0.0001,0.03,[4],0.6,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,27
3,111,322,11,0.0001,0.03,[4],0.6,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,27
4,111,330,11,0.0001,0.03,[4],0.6,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,27
5,111,315,11,0.0001,0.03,[4],0.6,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,27
1,112,326,11,0.0001,0.03,[8],0.4,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,28
2,111,318,13,0.0001,0.03,[8],0.4,False,32,10,0.0005,0.5986932599724897,0.5186046511627908,0.6079295154185022,conservative_joint_tuning,28
3,111,322,11,0.0001,0.03,[8],0.4,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,28
4,111,330,14,0.0001,0.03,[8],0.4,False,32,10,0.0005,0.5303776683087028,0.6653061224489796,0.4970588235294118,conservative_joint_tuning,28
5,111,315,11,0.0001,0.03,[8],0.4,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,28
1,112,326,11,0.0001,0.03,[8],0.5,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,29
2,111,318,13,0.0001,0.03,[8],0.5,False,32,10,0.0005,0.5974896836313618,0.513953488372093,0.6035242290748899,conservative_joint_tuning,29
3,111,322,11,0.0001,0.03,[8],0.5,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,29
4,111,330,14,0.0001,0.03,[8],0.5,False,32,10,0.0005,0.5289408866995073,0.6755102040816326,0.49411764705882355,conservative_joint_tuning,29
5,111,315,11,0.0001,0.03,[8],0.5,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,29
1,112,326,11,0.0001,0.03,[8],0.6,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,30
2,111,318,13,0.0001,0.03,[8],0.6,False,32,10,0.0005,0.5952544704264099,0.5093023255813953,0.6013215859030837,conservative_joint_tuning,30
3,111,322,11,0.0001,0.03,[8],0.6,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,30
4,111,330,14,0.0001,0.03,[8],0.6,False,32,10,0.0005,0.5213464696223317,0.6693877551020408,0.4838235294117647,conservative_joint_tuning,30
5,111,315,11,0.0001,0.03,[8],0.6,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,30
1,112,326,11,0.0001,0.03,[16],0.4,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,31
2,111,318,12,0.0001,0.03,[16],0.4,False,32,10,0.0005,0.6372077028885832,0.7372093023255814,0.6806167400881057,conservative_joint_tuning,31
3,111,322,12,0.0001,0.03,[16],0.4,False,32,10,0.0005,0.5736803519061584,0.337995337995338,0.6537162162162162,conservative_joint_tuning,31
